iter	Logloss
0	0.6241908578
1	0.5698864453
2	0.5288932917
3	0.4941535977
4	0.4686829171
5	0.4462923937
6	0.4282646337
7	0.412971757
8	0.4001167568
9	0.390216557
10	0.3808400037
11	0.3730858219
12	0.3663915125
13	0.36015541
14	0.3552268766
15	0.3503049367
16	0.3461374764
17	0.3428486303
18	0.3398201993
19	0.3367196084
20	0.3337970047
21	0.332027391
22	0.3295318053
23	0.3277027919
24	0.3257132899
25	0.3237411034
26	0.3229968504
27	0.3214099258
28	0.3203675538
29	0.3188586538
30	0.3182714086
31	0.3166295142
32	0.3160171706
33	0.314919544
34	0.3143503087
35	0.3134207602
36	0.3128858878
37	0.3122154989
38	0.3118571652
39	0.3108988107
40	0.3104803674
41	0.3104173601
42	0.3092755515
43	0.3089745561
44	0.3087050797
45	0.3080800699
46	0.3077045473
47	0.307295967
48	0.3066012082
49	0.3061701906
50	0.3060079294
51	0.3058754654
52	0.3057100899
53	0.30556633
54	0.3051745436
55	0.3041529195
56	0.304196636
57	0.3037722288
58	0.3037158508
59	0.3035037859
60	0.3030794658
61	0.3028688567
62	0.3027945761
63	0.3025634058
64	0.3024676733
65	0.3022499938
66	0.30139018
67	0.3010827767
68	0.3009455445
69	0.3007116348
70	0.3004772344
71	0.3004138648
72	0.3002549439
73	0.3002176377
74	0.3000878878
75	0.3000260656
76	0.299882397
77	0.2996648494
78	0.2995864627
79	0.299425238
80	0.2992849474
81	0.2992294994
82	0.2984746395
83	0.2983341103
84	0.2982677712
85	0.2979426068
86	0.2978594338
87	0.2974801945
88	0.2973541069
89	0.2972418483
90	0.2971666376
91	0.297141497
92	0.2968316255
93	0.2967345806
94	0.2966066735
95	0.2964454388
96	0.2963343997
97	0.2961353093
98	0.2959614042
99	0.2955787782
