iter	Passed	Remaining
0	685	67901
1	1344	65858
2	2047	66216
3	2769	66456
4	3438	65340
5	4126	64651
6	4814	63960
7	5611	64528
8	6294	63639
9	6976	62792
10	7634	61772
11	8307	60918
12	9006	60277
13	9699	59583
14	10382	58834
15	11071	58127
16	11813	57677
17	12527	57070
18	13234	56421
19	13898	55592
20	14579	54846
21	15490	54921
22	16218	54295
23	16894	53498
24	17587	52761
25	18378	52308
26	19178	51853
27	19823	50975
28	20606	50450
29	21391	49912
30	22059	49099
31	22810	48471
32	23503	47718
33	24262	47097
34	24925	46290
35	25690	45672
36	26397	44946
37	27030	44103
38	27715	43349
39	28583	42875
40	29302	42166
41	30090	41553
42	30790	40815
43	31516	40112
44	32295	39471
45	33131	38893
46	33957	38292
47	34728	37622
48	35430	36876
49	36201	36201
50	36950	35501
51	37726	34824
52	38550	34186
53	39517	33663
54	40225	32911
55	40946	32171
56	41802	31535
57	42473	30756
58	43211	30028
59	43921	29280
60	44570	28495
61	45295	27761
62	46010	27022
63	46762	26303
64	47522	25589
65	48199	24830
66	48851	24061
67	49536	23311
68	50235	22569
69	50905	21816
70	51641	21093
71	52371	20366
72	53128	19650
73	53891	18934
74	54632	18210
75	55441	17507
76	56101	16757
77	56877	16042
78	57597	15310
79	58404	14601
80	59125	13868
81	59868	13141
82	60622	12416
83	61269	11670
84	61965	10935
85	62775	10219
86	63516	9490
87	64348	8774
88	65158	8053
89	65928	7325
90	66656	6592
91	67433	5863
92	68073	5123
93	68722	4386
94	69453	3655
95	70226	2926
96	72355	2237
97	74097	1512
98	75615	763
99	77922	0
